cyclomatic_complexity,cognitive_complexity,max_nesting_depth,wmc,dit,noc,cbo,rfc,lcom,essential_complexity,afferent_coupling,efferent_coupling,instability,abstractness,file
5,6.0,1,0,0,0,0,1,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\Constants.java
6,7.199999999999999,3,0,0,0,1,94,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\DbType.java
5,6.0,2,0,1,0,0,9,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\DruidRuntimeException.java
1,1.2,2,0,1,0,0,3,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\FastsqlColumnAmbiguousException.java
5,6.0,2,0,1,0,0,9,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\FastsqlException.java
5,6.0,1,0,1,0,1,1,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\TransactionTimeoutException.java
5,6.0,2,0,0,0,0,2,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\VERSION.java
5,6.0,1,0,0,0,4,4,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\AutoLoad.java
5,6.0,14,0,1,0,12,492,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\Filter.java
6,7.199999999999999,16,0,1,0,12,983,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\FilterAdapter.java
5,6.0,13,0,0,0,12,491,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\FilterChain.java
550,660.0,15,0,0,0,13,3172,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\FilterChainImpl.java
22,26.4,15,0,1,0,3,217,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\FilterEventAdapter.java
24,28.799999999999997,5,0,0,0,13,83,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\FilterManager.java
32,38.4,6,0,1,0,16,120,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\config\ConfigFilter.java
16,19.2,5,0,0,0,14,105,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\config\ConfigTools.java
24,28.799999999999997,3,0,0,0,1,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\encoding\CharsetConvert.java
5,6.0,2,0,0,0,0,5,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\encoding\CharsetParameter.java
23,27.599999999999998,15,0,1,0,12,372,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\encoding\EncodingConvertFilter.java
9,10.799999999999999,3,0,1,0,3,72,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilter.java
5,6.0,0,0,1,0,0,1,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilterMBean.java
5,6.0,2,0,1,0,2,56,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4j2Filter.java
5,6.0,0,0,1,0,0,1,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4j2FilterMBean.java
5,6.0,2,0,1,0,2,56,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4jFilter.java
5,6.0,0,0,1,0,0,1,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4jFilterMBean.java
85,102.0,14,0,1,0,14,563,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\LogFilter.java
5,6.0,1,0,0,0,1,59,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\LogFilterMBean.java
5,6.0,2,0,1,0,3,59,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\Slf4jLogFilter.java
2,2.4,3,0,0,0,4,57,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\mysql8datetime\MySQL8DateTimeResultSetMetaData.java
20,24.0,3,0,1,0,7,16,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\mysql8datetime\MySQL8DateTimeSqlTypeFilter.java
6,7.199999999999999,3,0,1,0,0,8,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\stat\MergeStatFilter.java
117,140.4,14,0,1,0,24,726,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilter.java
19,22.8,3,0,0,0,2,79,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContext.java
5,6.0,1,0,0,0,0,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContextListener.java
5,6.0,1,0,0,0,0,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContextListenerAdapter.java
5,6.0,1,0,0,0,0,8,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterMBean.java
5,6.0,2,0,0,0,4,17,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockArray.java
5,6.0,2,0,0,0,6,20,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockBlob.java
15,18.0,3,0,1,0,9,311,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockCallableStatement.java
6,7.199999999999999,3,0,0,0,3,25,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockClob.java
25,30.0,11,0,1,0,7,188,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockConnection.java
5,6.0,2,0,1,0,1,3,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockConnectionClosedException.java
28,33.6,5,0,0,0,13,159,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\mock\MockDriver.java
