WMC,CBO,RFC,Formula_Result
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
1,1,1,3
2,2,2,6
3,3,3,9
4,4,4,12
5,5,5,15
6,6,6,18
7,7,7,21
8,8,8,24
9,9,9,27
10,10,10,30
11,11,11,33
12,12,12,36
13,13,13,39
14,14,14,42
15,15,15,45
16,16,16,48
17,17,17,51
18,18,18,54
19,19,19,57
20,20,20,60
