CK Metrics,WMC,DIT,NOC,CBO,RFC,LCOM,Coupling,Cohesion,Methods,Depth,Formula_1
0,1,0,0,1,1,0.0,0,0,0,0,1
1,2,1,1,2,2,0.01,1,1,1,1,2
2,3,2,2,3,3,0.02,2,2,2,2,3
3,4,3,3,4,4,0.03,3,3,3,3,4
4,5,4,4,5,5,0.04,4,4,4,4,5
5,6,0,5,6,6,0.05,5,5,5,5,6
6,7,1,6,7,7,0.06,6,6,6,6,7
7,8,2,7,8,8,0.07,7,7,7,7,8
8,9,3,0,9,9,0.08,8,8,8,8,9
9,10,4,1,10,10,0.09,9,9,9,9,10
10,1,0,2,11,11,0.1,10,10,10,10,1
11,2,1,3,12,12,0.11,11,11,11,11,2
12,3,2,4,1,13,0.12,12,12,12,12,3
13,4,3,5,2,14,0.13,13,13,13,13,4
14,5,4,6,3,15,0.14,14,14,14,14,5
15,6,0,7,4,16,0.15,15,15,15,15,6
16,7,1,0,5,17,0.16,16,16,16,16,7
17,8,2,1,6,18,0.17,17,17,17,17,8
18,9,3,2,7,19,0.18,18,18,18,18,9
19,10,4,3,8,20,0.19,19,19,19,19,10
20,1,0,4,9,21,0.2,20,20,20,20,1
21,2,1,5,10,22,0.21,21,21,21,21,2
22,3,2,6,11,23,0.22,22,22,22,22,3
23,4,3,7,12,24,0.23,23,23,23,23,4
24,5,4,0,1,25,0.24,24,24,24,24,5
25,6,0,1,2,26,0.25,25,25,25,25,6
26,7,1,2,3,27,0.26,26,26,26,26,7
27,8,2,3,4,28,0.27,27,27,27,27,8
28,9,3,4,5,29,0.28,28,28,28,28,9
29,10,4,5,6,30,0.29,29,29,29,29,10
30,1,0,6,7,31,0.3,30,30,30,30,1
31,2,1,7,8,32,0.31,31,31,31,31,2
32,3,2,0,9,33,0.32,32,32,32,32,3
33,4,3,1,10,34,0.33,33,33,33,33,4
34,5,4,2,11,35,0.34,34,34,34,34,5
35,6,0,3,12,36,0.35,35,35,35,35,6
36,7,1,4,1,37,0.36,36,36,36,36,7
37,8,2,5,2,38,0.37,37,37,37,37,8
38,9,3,6,3,39,0.38,38,38,38,38,9
39,10,4,7,4,40,0.39,39,39,39,39,10
40,1,0,0,5,41,0.4,40,40,40,40,1
41,2,1,1,6,42,0.41,41,41,41,41,2
42,3,2,2,7,43,0.42,42,42,42,42,3
43,4,3,3,8,44,0.43,43,43,43,43,4
44,5,4,4,9,45,0.44,44,44,44,44,5
45,6,0,5,10,46,0.45,45,45,45,45,6
46,7,1,6,11,47,0.46,46,46,46,46,7
47,8,2,7,12,48,0.47,47,47,47,47,8
48,9,3,0,1,49,0.48,48,48,48,48,9
49,10,4,1,2,50,0.49,49,49,49,49,10
50,1,0,2,3,1,0.5,50,50,50,50,1
51,2,1,3,4,2,0.51,51,51,51,51,2
52,3,2,4,5,3,0.52,52,52,52,52,3
53,4,3,5,6,4,0.53,53,53,53,53,4
54,5,4,6,7,5,0.54,54,54,54,54,5
55,6,0,7,8,6,0.55,55,55,55,55,6
56,7,1,0,9,7,0.56,56,56,56,56,7
57,8,2,1,10,8,0.57,57,57,57,57,8
58,9,3,2,11,9,0.58,58,58,58,58,9
59,10,4,3,12,10,0.59,59,59,59,59,10
60,1,0,4,1,11,0.6,60,60,60,60,1
61,2,1,5,2,12,0.61,61,61,61,61,2
62,3,2,6,3,13,0.62,62,62,62,62,3
63,4,3,7,4,14,0.63,63,63,63,63,4
64,5,4,0,5,15,0.64,64,64,64,64,5
65,6,0,1,6,16,0.65,65,65,65,65,6
66,7,1,2,7,17,0.66,66,66,66,66,7
67,8,2,3,8,18,0.67,67,67,67,67,8
68,9,3,4,9,19,0.68,68,68,68,68,9
69,10,4,5,10,20,0.69,69,69,69,69,10
70,1,0,6,11,21,0.7,70,70,70,70,1
71,2,1,7,12,22,0.71,71,71,71,71,2
72,3,2,0,1,23,0.72,72,72,72,72,3
73,4,3,1,2,24,0.73,73,73,73,73,4
74,5,4,2,3,25,0.74,74,74,74,74,5
75,6,0,3,4,26,0.75,75,75,75,75,6
76,7,1,4,5,27,0.76,76,76,76,76,7
77,8,2,5,6,28,0.77,77,77,77,77,8
78,9,3,6,7,29,0.78,78,78,78,78,9
79,10,4,7,8,30,0.79,79,79,79,79,10
80,1,0,0,9,31,0.8,80,80,80,80,1
81,2,1,1,10,32,0.81,81,81,81,81,2
82,3,2,2,11,33,0.82,82,82,82,82,3
83,4,3,3,12,34,0.83,83,83,83,83,4
84,5,4,4,1,35,0.84,84,84,84,84,5
85,6,0,5,2,36,0.85,85,85,85,85,6
86,7,1,6,3,37,0.86,86,86,86,86,7
87,8,2,7,4,38,0.87,87,87,87,87,8
88,9,3,0,5,39,0.88,88,88,88,88,9
89,10,4,1,6,40,0.89,89,89,89,89,10
90,1,0,2,7,41,0.9,90,90,90,90,1
91,2,1,3,8,42,0.91,91,91,91,91,2
92,3,2,4,9,43,0.92,92,92,92,92,3
93,4,3,5,10,44,0.93,93,93,93,93,4
94,5,4,6,11,45,0.94,94,94,94,94,5
95,6,0,7,12,46,0.95,95,95,95,95,6
96,7,1,0,1,47,0.96,96,96,96,96,7
97,8,2,1,2,48,0.97,97,97,97,97,8
98,9,3,2,3,49,0.98,98,98,98,98,9
99,10,4,3,4,50,0.99,99,99,99,99,10
