file,filename,num_authors,num_commits,code_age,change_frequency,churn,additions,deletions,changes,wmc,dit,noc,cbo,rfc,lcom,cyclomatic_complexity,cognitive_complexity,essential_complexity,max_nesting_depth,afferent_coupling,efferent_coupling,instability,abstractness,bug_density,num_bugs,vulnerabilities,has_defect,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs,defect_type,severity,priority,kloc,loc,soc,cloc,bloc,maintainability_index,technical_debt,code_smells,npm,nprm,npa,npra,fanin,fanout,noi,nop,pre_release_bugs,post_release_bugs,bug_fix_time,revision_count,loc_added,loc_deleted,duplication,test_coverage,documentation,comment_ratio,num_files,num_classes,num_methods,num_statements
.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader.java,1,1,2,35.62,116,116,0,11,5,5,0,2,4,49.56,18,3,0,6,8,5,62.44,33.79,94.96,11,11,False,51.84,18.15,94.4,36.76,2.32,high,high,medium,0.076,76,76,31,9,57.26,77.04,3,4,4,11,2,0,5,11,9,5,7,92.32,6,43.44,89.11,95.08,19.16,58.43,44.45,3,1,1,1
core/src/main/java/com/alibaba/druid/Constants.java,Constants.java,1,1,1,9.51,22,22,0,2,2,0,0,0,2,10.53,3,2,2,1,1,1,7.19,15.6,16.16,1,1,False,10.16,5.29,18.82,10.8,6.48,high,low,low,0.005,5,5,15,2,2.63,15.97,2,2,1,1,2,1,1,2,0,1,1,10.54,1,16.75,19.48,11.87,1.68,2.22,7.38,1,0,0,1
core/src/main/java/com/alibaba/druid/DbType.java,DbType.java,1,1,7,81.43,166,166,0,3,4,8,11,12,9,37.12,13,3,0,3,10,5,77.39,39.67,55.51,11,12,True,90.22,51.88,20.99,61.8,46.38,medium,medium,high,0.117,117,117,12,37,17.8,57.23,14,4,0,1,8,1,3,3,14,9,15,62.04,7,15.44,31.2,20.55,96.34,45.51,26.69,13,0,0,15
core/src/main/java/com/alibaba/druid/DruidRuntimeException.java,DruidRuntimeException.java,1,1,0,3.07,37,37,0,0,0,2,0,3,3,15.16,3,0,3,2,0,2,35.55,32.2,19.96,2,2,True,8.17,19.52,19.47,5.08,23.97,low,low,low,0.016,16,16,15,6,34.38,9.63,2,3,0,0,1,3,2,3,3,2,1,13.13,1,2.84,16.13,15.66,9.45,20.27,8.2,2,1,0,2
core/src/main/java/com/alibaba/druid/FastsqlColumnAmbiguousException.java,FastsqlColumnAmbiguousException.java,1,1,1,4.85,10,10,0,0,0,1,1,0,0,4.41,1,1,1,2,1,1,2.48,7.66,0.2,0,0,True,4.34,9.53,2.48,3.53,6.01,high,high,low,0.008,8,8,0,2,3.76,6.93,0,0,0,0,0,1,0,0,1,1,0,7.33,1,3.66,6.16,2.97,3.98,1.88,0.94,0,1,0,0
core/src/main/java/com/alibaba/druid/FastsqlException.java,FastsqlException.java,1,1,2,17.46,37,37,0,0,3,1,3,0,3,34.77,3,3,1,2,3,2,12.27,7.12,34.68,2,3,False,15.57,25.1,30.19,11.92,27.49,medium,medium,low,0.016,16,16,15,6,25.38,5.29,1,1,0,0,0,3,3,2,3,0,2,19.06,3,20.82,6.37,33.88,6.48,4.59,17.5,0,1,0,2
core/src/main/java/com/alibaba/druid/TransactionTimeoutException.java,TransactionTimeoutException.java,1,1,2,14.53,23,23,0,1,2,2,0,0,2,17.2,3,0,0,1,2,0,13.72,14.35,9.27,0,2,False,17.09,6.3,5.44,12.46,19.83,low,high,high,0.005,5,5,15,3,20.3,22.37,1,2,2,2,2,2,1,2,0,1,2,7.23,1,22.37,10.88,6.14,2.15,15.49,15.23,1,1,0,1
core/src/main/java/com/alibaba/druid/VERSION.java,VERSION.java,1,1,0,15.25,26,26,0,1,2,0,0,1,0,21.55,3,1,1,2,2,0,7.96,25.29,7.1,2,0,True,18.02,25.39,8.6,16.31,14.56,high,medium,high,0.009,9,9,15,2,8.17,6.36,1,1,2,2,1,1,1,2,2,2,1,22.38,2,15.38,9.65,4.39,0.28,17.99,0.61,2,1,0,2
core/src/main/java/com/alibaba/druid/filter/AutoLoad.java,AutoLoad.java,1,1,0,26.66,31,31,0,2,2,1,2,0,0,1.78,3,3,0,1,1,3,6.49,2.93,0.12,0,2,True,14.17,10.7,13.18,2.54,7.56,low,high,high,0.01,10,10,18,3,2.32,4.64,0,1,3,1,1,1,1,0,1,0,2,4.62,3,9.93,20.05,6.13,14.89,15.72,1.48,2,0,0,1
core/src/main/java/com/alibaba/druid/filter/Filter.java,Filter.java,1,1,0,60.65,1378,1378,0,70,136,16,76,82,58,78.34,17,126,18,14,22,2,38.01,60.85,54.07,17,16,False,63.35,72.22,69.34,40.55,1.24,medium,low,high,0.858,858,858,23,497,95.01,30.37,89,117,132,53,3,50,67,102,122,59,41,33.07,136,62.83,73.68,22.46,67.2,82.3,62.53,38,0,0,137
core/src/main/java/com/alibaba/druid/filter/FilterAdapter.java,FilterAdapter.java,1,1,286,37.5,2891,2891,0,29,178,13,254,257,29,36.0,26,270,131,16,15,72,29.3,6.23,38.11,288,30,False,16.82,81.71,76.59,87.56,40.26,high,high,high,2.367,2367,2367,26,498,1.21,9.1,113,245,87,12,44,158,242,279,78,21,115,62.3,97,69.05,88.29,65.36,35.78,40.98,46.24,80,1,435,143
core/src/main/java/com/alibaba/druid/filter/FilterChain.java,FilterChain.java,1,1,51,88.26,1192,1192,0,87,17,5,101,31,95,93.72,14,4,111,13,104,115,47.2,61.24,65.33,73,9,True,38.4,19.65,96.06,34.24,67.2,medium,high,medium,0.671,671,671,25,496,70.23,39.68,11,108,13,74,18,17,81,34,79,66,63,52.91,108,60.21,70.44,26.45,35.09,68.56,25.96,74,0,0,101
core/src/main/java/com/alibaba/druid/filter/FilterChainImpl.java,FilterChainImpl.java,1,1,524,50.31,5287,5287,0,413,157,333,431,48,435,45.22,100,482,214,15,458,437,11.0,6.35,61.34,359,40,True,24.78,37.51,51.52,80.36,0.43,high,low,low,4.504,4504,4504,25,758,39.22,41.88,244,81,287,469,524,139,243,356,254,43,23,35.38,358,73.88,36.09,90.05,31.67,96.35,70.92,88,1,441,525
core/src/main/java/com/alibaba/druid/filter/FilterEventAdapter.java,FilterEventAdapter.java,1,1,3,10.97,541,541,0,33,7,7,6,7,2,81.7,78,32,11,15,18,16,91.54,9.98,48.01,16,22,False,23.3,72.36,5.49,67.56,40.58,low,medium,medium,0.404,404,404,18,119,2.83,39.32,45,53,49,20,26,23,53,25,23,43,29,58.88,22,87.6,8.95,73.25,0.16,3.85,77.73,35,1,42,10
core/src/main/java/com/alibaba/druid/filter/FilterManager.java,FilterManager.java,1,1,9,40.02,170,170,0,2,4,14,2,17,13,17.16,37,7,9,5,6,4,73.61,18.92,61.14,16,14,False,78.01,88.62,65.16,4.62,40.52,high,medium,high,0.125,125,125,15,30,76.39,47.74,17,15,11,17,17,1,17,16,5,6,12,81.75,6,34.05,41.89,47.76,20.11,6.31,86.46,7,1,0,6
core/src/main/java/com/alibaba/druid/filter/config/ConfigFilter.java,ConfigFilter.java,1,1,1,12.17,278,278,0,20,2,23,26,11,13,39.66,46,27,11,6,7,25,69.23,19.99,76.0,19,0,False,14.76,58.04,60.18,73.51,90.87,low,medium,medium,0.165,165,165,74,39,79.79,4.58,16,27,16,10,19,14,23,3,21,27,9,68.31,20,4.4,31.43,29.93,92.37,38.29,90.68,25,1,6,25
core/src/main/java/com/alibaba/druid/filter/config/ConfigTools.java,ConfigTools.java,1,1,11,4.33,210,210,0,8,11,12,11,3,1,79.25,29,19,8,5,11,2,86.67,58.51,93.52,10,21,False,96.81,56.08,31.83,4.11,2.8,low,high,medium,0.157,157,157,18,35,4.86,43.16,6,13,3,4,10,4,13,2,6,21,20,59.08,1,67.0,81.03,55.97,31.5,79.91,70.11,15,1,0,7
core/src/main/java/com/alibaba/druid/filter/encoding/CharsetConvert.java,CharsetConvert.java,1,1,6,40.51,78,78,0,6,0,1,5,1,1,38.69,25,4,5,3,0,6,0.77,49.24,24.81,5,7,True,64.67,48.55,77.49,33.66,27.28,high,high,low,0.027,27,27,42,9,7.06,36.05,0,7,0,2,2,7,5,0,3,0,6,72.03,1,3.05,52.86,59.18,31.33,60.61,62.19,4,1,3,2
core/src/main/java/com/alibaba/druid/filter/encoding/CharsetParameter.java,CharsetParameter.java,1,1,0,29.71,55,55,0,2,4,1,5,0,4,49.49,3,2,1,2,3,2,33.01,18.52,14.51,0,3,False,19.96,31.18,39.31,42.03,19.5,high,high,low,0.02,20,20,26,9,0.66,6.74,0,5,0,2,2,3,4,1,0,3,1,31.24,2,32.93,38.3,20.52,26.93,3.5,3.26,5,1,4,1
core/src/main/java/com/alibaba/druid/filter/encoding/EncodingConvertFilter.java,EncodingConvertFilter.java,1,1,51,45.23,645,645,0,13,38,35,60,34,8,9.16,63,28,0,15,58,19,47.47,62.45,65.02,32,7,True,39.31,4.21,8.0,72.23,57.15,medium,medium,low,0.528,528,528,26,91,68.3,86.87,33,59,40,16,40,50,62,14,9,2,26,77.01,39,12.9,35.16,85.68,74.87,9.19,15.21,20,1,56,53
core/src/main/java/com/alibaba/druid/filter/logging/CommonsLogFilter.java,CommonsLogFilter.java,1,1,6,63.84,161,161,0,7,13,1,1,0,10,31.12,14,14,9,3,7,7,85.13,66.96,38.29,14,14,True,69.27,9.73,46.86,16.2,91.33,high,low,high,0.117,117,117,18,26,72.22,4.85,13,6,4,7,14,15,9,13,8,4,15,74.51,1,35.3,42.11,31.67,62.94,13.63,94.04,7,1,24,11
core/src/main/java/com/alibaba/druid/filter/logging/CommonsLogFilterMBean.java,CommonsLogFilterMBean.java,1,1,1,6.74,22,22,0,1,2,2,2,1,0,4.58,3,0,2,0,2,2,21.79,21.13,4.29,0,0,False,20.31,5.88,16.95,19.1,21.67,medium,low,low,0.003,3,3,18,1,8.38,6.34,0,0,1,1,1,2,2,1,2,1,1,21.91,1,2.99,6.66,14.02,16.77,9.82,16.91,2,0,0,2
core/src/main/java/com/alibaba/druid/filter/logging/Log4j2Filter.java,Log4j2Filter.java,1,1,15,26.39,153,153,0,0,13,12,15,5,1,91.86,10,13,1,2,12,9,84.73,17.47,48.46,2,11,False,90.07,13.89,56.35,4.66,10.41,high,low,low,0.109,109,109,18,26,34.44,89.16,11,5,0,12,1,8,10,11,15,8,0,90.79,10,18.72,52.23,21.91,24.9,89.63,9.83,5,1,24,8
core/src/main/java/com/alibaba/druid/filter/logging/Log4j2FilterMBean.java,Log4j2FilterMBean.java,1,1,1,14.39,19,19,0,1,1,0,0,0,0,12.28,3,0,1,0,0,0,4.76,6.6,2.49,0,0,True,11.18,18.83,8.46,7.02,6.81,medium,low,low,0.003,3,3,15,1,11.08,6.29,1,1,1,0,0,1,0,1,1,0,1,11.9,0,15.54,17.51,3.96,9.16,17.94,10.98,1,0,0,1
core/src/main/java/com/alibaba/druid/filter/logging/Log4jFilter.java,Log4jFilter.java,1,1,15,10.82,153,153,0,9,12,12,0,7,10,84.85,10,13,12,2,3,9,13.21,26.1,63.75,1,14,True,54.85,16.65,42.85,99.48,18.53,high,medium,medium,0.109,109,109,18,26,62.34,4.45,13,10,13,2,7,12,7,7,8,10,11,80.09,4,51.81,5.76,57.12,32.74,75.41,17.06,6,1,24,0
