wmc,dit,noc,cbo,rfc,lcom,afferent_coupling,efferent_coupling,instability,file
3,0,0,0,1,0.5,0,0,0,core\src\main\java\com\alibaba\druid\Constants.java
8,0,0,1,92,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\DbType.java
6,1,0,0,9,0.5,0,0,0,core\src\main\java\com\alibaba\druid\DruidRuntimeException.java
3,1,0,0,3,0.5,0,0,0,core\src\main\java\com\alibaba\druid\FastsqlColumnAmbiguousException.java
6,1,0,0,9,0.5,0,0,0,core\src\main\java\com\alibaba\druid\FastsqlException.java
2,1,0,1,1,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\TransactionTimeoutException.java
5,1,0,0,2,0.5,0,0,0,core\src\main\java\com\alibaba\druid\VERSION.java
1,0,0,4,4,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\filter\AutoLoad.java
1,1,0,12,492,0.5,0,12,1.0,core\src\main\java\com\alibaba\druid\filter\Filter.java
492,1,0,12,982,0.5,0,12,1.0,core\src\main\java\com\alibaba\druid\filter\FilterAdapter.java
1,0,0,12,491,0.5,0,12,1.0,core\src\main\java\com\alibaba\druid\filter\FilterChain.java
502,1,0,13,3149,0.5,0,13,1.0,core\src\main\java\com\alibaba\druid\filter\FilterChainImpl.java
32,1,0,3,214,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\filter\FilterEventAdapter.java
8,1,0,13,77,0.5,0,13,1.0,core\src\main\java\com\alibaba\druid\filter\FilterManager.java
15,1,0,16,116,0.5,0,16,1.0,core\src\main\java\com\alibaba\druid\filter\config\ConfigFilter.java
18,1,0,14,102,0.5,0,14,1.0,core\src\main\java\com\alibaba\druid\filter\config\ConfigTools.java
8,1,0,3,15,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\filter\encoding\CharsetConvert.java
9,1,0,0,5,0.5,0,0,0,core\src\main\java\com\alibaba\druid\filter\encoding\CharsetParameter.java
63,1,0,12,368,0.5,0,12,1.0,core\src\main\java\com\alibaba\druid\filter\encoding\EncodingConvertFilter.java
24,1,0,3,72,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilter.java
1,1,0,0,1,0.5,0,0,0,core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilterMBean.java
24,1,0,2,56,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\filter\logging\Log4j2Filter.java
