comment_ratio,file
0.292,dev-tools\prepare_release_update_documentation.py
0.095,x-pack\dev-tools\smoke_test_xpack_rc.py
0.12,x-pack\test\smb-fixture\src\main\java\org\elasticsearch\test\fixtures\smb\SmbTestContainer.java
0.214,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\HttpProxyTestContainer.java
0.148,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\IdpTestContainer.java
0.157,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\OidcProviderTestContainer.java
0.075,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\OpenLdapTestContainer.java
0.073,x-pack\test\deprecated-query\src\main\java\org\elasticsearch\query\DeprecatedQueryBuilder.java
0.24,x-pack\test\deprecated-query\src\main\java\org\elasticsearch\query\DeprecatedQueryPlugin.java
0.091,x-pack\qa\third-party\slack\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherSlackYamlTestSuiteIT.java
0.091,x-pack\qa\third-party\pagerduty\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherPagerDutyYamlTestSuiteIT.java
0.091,x-pack\qa\third-party\jira\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherJiraYamlTestSuiteIT.java
0.132,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\AbstractActiveDirectoryTestCase.java
0.049,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\AbstractAdLdapRealmTestCase.java
0.046,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ActiveDirectoryGroupsResolverTests.java
0.107,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ActiveDirectoryRunAsIT.java
0.018,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ActiveDirectorySessionFactoryTests.java
0.086,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ADLdapUserSearchSessionFactoryTests.java
0.213,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\GroupMappingIT.java
0.148,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\MultiGroupMappingIT.java
0.238,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\MultipleAdRealmIT.java
0.05,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\UserAttributeGroupsResolverTests.java
0.163,x-pack\qa\src\main\java\org\elasticsearch\xpack\test\SecuritySettingsSourceField.java
0.251,x-pack\qa\src\main\java\org\elasticsearch\xpack\test\rest\IndexMappingTemplateAsserter.java
0.29,x-pack\qa\src\main\java\org\elasticsearch\xpack\test\rest\XPackRestTestConstants.java
0.212,x-pack\qa\src\main\java\org\elasticsearch\xpack\test\rest\XPackRestTestHelper.java
0.158,x-pack\qa\smoke-test-security-with-mustache\src\yamlRestTest\java\org\elasticsearch\smoketest\SmokeTestSecurityWithMustacheClientYamlTestSuiteIT.java
0.095,x-pack\qa\smoke-test-plugins-ssl\src\yamlRestTest\java\org\elasticsearch\smoketest\SmokeTestMonitoringWithSecurityIT.java
0.082,x-pack\qa\smoke-test-plugins-ssl\src\yamlRestTest\java\org\elasticsearch\smoketest\SmokeTestPluginsSslClientYamlTestSuiteIT.java
0.158,x-pack\qa\smoke-test-plugins\src\yamlRestTest\java\org\elasticsearch\smoketest\XSmokeTestPluginsClientYamlTestSuiteIT.java
0.05,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\support\FileAttributesCheckerTests.java
0.064,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\support\SecurityFilesTests.java
0.035,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\tool\BaseRunAsSuperuserCommandTests.java
0.06,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\enrollment\tool\AutoConfigGenerateElasticPasswordHashTests.java
0.023,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\enrollment\tool\CreateEnrollmentTokenToolTests.java
0.081,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\crypto\tool\SystemKeyToolTests.java
0.051,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\authc\service\FileTokensToolTests.java
0.027,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\authc\file\tool\UsersToolTests.java
0.019,x-pack\qa\security-tools-tests\src\test\java\org\elasticsearch\xpack\security\authc\esnative\tool\ResetPasswordToolTests.java
0.077,x-pack\qa\security-setup-password-tests\src\javaRestTest\java\org\elasticsearch\xpack\security\authc\esnative\tool\AbstractPasswordToolTestCase.java
0.07,x-pack\qa\security-setup-password-tests\src\javaRestTest\java\org\elasticsearch\xpack\security\authc\esnative\tool\ResetPasswordToolIT.java
0.096,x-pack\qa\security-setup-password-tests\src\javaRestTest\java\org\elasticsearch\xpack\security\authc\esnative\tool\SetupPasswordToolIT.java
0.064,x-pack\qa\security-example-spi-extension\src\test\java\org\elasticsearch\example\realm\CustomRealmTests.java
0.08,x-pack\qa\security-example-spi-extension\src\test\java\org\elasticsearch\example\realm\CustomRoleMappingRealmTests.java
0.145,x-pack\qa\security-example-spi-extension\src\main\java\org\elasticsearch\example\ExampleSecurityExtension.java
0.2,x-pack\qa\security-example-spi-extension\src\main\java\org\elasticsearch\example\SpiExtensionPlugin.java
0.167,x-pack\qa\security-example-spi-extension\src\main\java\org\elasticsearch\example\realm\CustomAuthenticationFailureHandler.java
0.148,x-pack\qa\security-example-spi-extension\src\main\java\org\elasticsearch\example\realm\CustomRealm.java
0.124,x-pack\qa\security-example-spi-extension\src\main\java\org\elasticsearch\example\realm\CustomRoleMappingRealm.java
0.175,x-pack\qa\security-example-spi-extension\src\main\java\org\elasticsearch\example\role\CustomInMemoryRolesProvider.java
0.143,x-pack\qa\security-example-spi-extension\src\javaRestTest\java\org\elasticsearch\example\realm\CustomRealmIT.java
0.149,x-pack\qa\security-example-spi-extension\src\javaRestTest\java\org\elasticsearch\example\realm\CustomRoleMappingRealmIT.java
0.139,x-pack\qa\security-example-spi-extension\src\javaRestTest\java\org\elasticsearch\example\role\CustomRolesProviderIT.java
0.149,x-pack\qa\saml-idp-tests\src\javaRestTest\java\org\elasticsearch\xpack\security\authc\saml\SamlAuthenticationIT.java
0.024,x-pack\qa\runtime-fields\with-security\src\javaRestTest\java\org\elasticsearch\xpack\security\PermissionsIT.java
0.169,x-pack\qa\runtime-fields\src\main\java\org\elasticsearch\xpack\runtimefields\test\CoreTestTranslater.java
0.13,x-pack\qa\runtime-fields\core-with-search\src\yamlRestTest\java\org\elasticsearch\xpack\runtimefields\test\search\CoreTestsWithSearchRuntimeFieldsIT.java
