loc,file
130,dev-tools\prepare_release_update_documentation.py
200,x-pack\dev-tools\smoke_test_xpack_rc.py
50,x-pack\test\smb-fixture\src\main\java\org\elasticsearch\test\fixtures\smb\SmbTestContainer.java
42,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\HttpProxyTestContainer.java
61,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\IdpTestContainer.java
70,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\OidcProviderTestContainer.java
80,x-pack\test\idp-fixture\src\main\java\org\elasticsearch\test\fixtures\idp\OpenLdapTestContainer.java
82,x-pack\test\deprecated-query\src\main\java\org\elasticsearch\query\DeprecatedQueryBuilder.java
25,x-pack\test\deprecated-query\src\main\java\org\elasticsearch\query\DeprecatedQueryPlugin.java
77,x-pack\qa\third-party\slack\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherSlackYamlTestSuiteIT.java
77,x-pack\qa\third-party\pagerduty\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherPagerDutyYamlTestSuiteIT.java
77,x-pack\qa\third-party\jira\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherJiraYamlTestSuiteIT.java
152,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\AbstractActiveDirectoryTestCase.java
446,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\AbstractAdLdapRealmTestCase.java
173,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ActiveDirectoryGroupsResolverTests.java
84,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ActiveDirectoryRunAsIT.java
620,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ActiveDirectorySessionFactoryTests.java
151,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\ADLdapUserSearchSessionFactoryTests.java
47,x-pack\qa\third-party\active-directory\src\test\java\org\elasticsearch\xpack\security\authc\ldap\GroupMappingIT.java
