afferent_coupling,avg_method_loc,avg_nesting_depth,blank_lines,bug_severity,cbo,code_smells,cognitive_complexity,comment_lines,comment_ratio,cyclomatic_complexity,defect_type,dit,efferent_coupling,file,halstead_difficulty,halstead_volume,has_comments,has_defect,instability,language,lcom,lines_of_code_actual,loc,maintainability_index,max_method_loc,max_nesting_depth,noc,num_bugs,num_classes,num_fields,num_interfaces,num_methods,num_private_methods,num_public_methods,num_static_methods,project,rfc,technical_debt_hours,total_lines,type,wmc
1,25.333333333333332,2.0,10,none,1,0,10.799999999999999,31,0.2897196261682243,9,none,1,1,.mvn\wrapper\MavenWrapperDownloader.java,0,0,True,0,0.25,java,0.0,66,107,50.0,35,6,0,0,1,16,0,3,1,1,2,druid,3,0,117,comprehensive_java_metrics,3
0,5.0,1.0,3,none,0,0,1.2,15,0.75,1,none,1,0,core\src\main\java\com\alibaba\druid\Constants.java,0,0,True,0,0.0,java,0.0,2,20,50.0,15,1,0,0,0,2,1,0,0,0,0,druid,0,0,23,comprehensive_java_metrics,0
0,29.25,0.75,38,none,0,0,10.799999999999999,12,0.09302325581395349,9,none,1,0,core\src\main\java\com\alibaba\druid\DbType.java,0,0,True,0,0.0,java,0.0,79,129,50.0,39,3,0,0,0,10,0,4,0,3,3,druid,4,0,167,comprehensive_java_metrics,4
3,16.0,2.0,7,none,3,0,1.2,15,0.4838709677419355,1,none,1,3,core\src\main\java\com\alibaba\druid\DruidRuntimeException.java,0,0,True,0,1.0,java,0.0,9,31,100,26,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,38,comprehensive_java_metrics,1
2,8.0,2.0,3,none,2,0,1.2,0,0.0,1,none,1,2,core\src\main\java\com\alibaba\druid\FastsqlColumnAmbiguousException.java,0,0,False,0,1.0,java,0.0,5,8,100,18,2,0,0,1,0,0,0,0,0,0,druid,0,0.0,11,comprehensive_java_metrics,1
3,16.0,2.0,7,none,3,0,1.2,15,0.4838709677419355,1,none,1,3,core\src\main\java\com\alibaba\druid\FastsqlException.java,0,0,True,0,1.0,java,0.0,9,31,100,26,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,38,comprehensive_java_metrics,1
1,5.0,1.0,4,none,1,0,1.2,15,0.75,1,none,1,1,core\src\main\java\com\alibaba\druid\TransactionTimeoutException.java,0,0,True,0,1.0,java,0.0,1,20,100,15,1,0,0,1,1,0,0,0,0,0,druid,0,0.0,24,comprehensive_java_metrics,1
0,9.0,2.0,3,none,0,0,1.2,15,0.625,1,none,0,0,core\src\main\java\com\alibaba\druid\VERSION.java,0,0,True,0,0.0,java,0.0,6,24,100,19,2,0,0,1,3,0,1,0,1,1,druid,0,0.0,27,comprehensive_java_metrics,1
0,10.0,1.0,4,none,0,0,1.2,18,0.6428571428571429,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\AutoLoad.java,0,0,True,0,0.0,java,0.0,6,28,50.0,20,1,0,0,0,0,1,0,0,0,0,druid,0,0,32,comprehensive_java_metrics,0
0,858.0,1.0,498,none,0,0,1.2,23,0.026106696935300794,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\Filter.java,0,0,True,0,0.0,java,0.0,360,881,50.0,868,1,0,0,0,191,1,0,0,0,0,druid,0,0,1379,comprehensive_java_metrics,0
