bug_id,project,buggy_version,fixed_version,test_class,test_method,lang,lines_fixed
D4J-000,jfreechart,v7,v27,Test0,test_method_0,Java,9
D4J-001,commons-lang,v13,v25,Test1,test_method_1,Java,4
D4J-002,closure,v12,v37,Test2,test_method_2,Java,13
D4J-003,jfreechart,v18,v34,Test3,test_method_3,Java,14
D4J-004,jfreechart,v12,v34,Test4,test_method_4,Java,6
D4J-005,commons-math,v20,v28,Test5,test_method_5,Java,8
D4J-006,jfreechart,v15,v38,Test6,test_method_6,Java,13
D4J-007,closure,v8,v33,Test7,test_method_7,Java,17
D4J-008,commons-lang,v1,v22,Test8,test_method_8,Java,5
D4J-009,commons-lang,v9,v39,Test9,test_method_9,Java,1
D4J-010,commons-lang,v9,v26,Test10,test_method_10,Java,16
D4J-011,commons-math,v1,v40,Test11,test_method_11,Java,17
D4J-012,commons-math,v7,v35,Test12,test_method_12,Java,11
D4J-013,commons-math,v1,v29,Test13,test_method_13,Java,12
D4J-014,closure,v3,v21,Test14,test_method_14,Java,1
D4J-015,commons-math,v14,v28,Test15,test_method_15,Java,1
D4J-016,jfreechart,v15,v25,Test16,test_method_16,Java,11
D4J-017,commons-lang,v6,v22,Test17,test_method_17,Java,1
D4J-018,closure,v12,v32,Test18,test_method_18,Java,17
D4J-019,closure,v13,v31,Test19,test_method_19,Java,6
D4J-020,closure,v4,v32,Test20,test_method_20,Java,10
D4J-021,commons-lang,v7,v27,Test21,test_method_21,Java,16
D4J-022,jfreechart,v19,v35,Test22,test_method_22,Java,6
D4J-023,commons-math,v18,v30,Test23,test_method_23,Java,14
D4J-024,jfreechart,v8,v35,Test24,test_method_24,Java,15
D4J-025,commons-math,v2,v30,Test25,test_method_25,Java,9
D4J-026,commons-math,v17,v31,Test26,test_method_26,Java,9
D4J-027,jfreechart,v15,v25,Test27,test_method_27,Java,7
D4J-028,commons-lang,v16,v36,Test28,test_method_28,Java,6
D4J-029,jfreechart,v2,v34,Test29,test_method_29,Java,14
D4J-030,jfreechart,v11,v35,Test30,test_method_30,Java,3
D4J-031,closure,v10,v21,Test31,test_method_31,Java,5
D4J-032,closure,v18,v37,Test32,test_method_32,Java,18
D4J-033,commons-lang,v18,v30,Test33,test_method_33,Java,2
D4J-034,commons-math,v20,v23,Test34,test_method_34,Java,3
D4J-035,commons-math,v3,v21,Test35,test_method_35,Java,15
D4J-036,commons-math,v1,v29,Test36,test_method_36,Java,4
D4J-037,closure,v16,v24,Test37,test_method_37,Java,7
D4J-038,commons-lang,v19,v29,Test38,test_method_38,Java,11
D4J-039,commons-math,v7,v27,Test39,test_method_39,Java,11
D4J-040,commons-math,v6,v40,Test40,test_method_40,Java,16
D4J-041,commons-math,v17,v40,Test41,test_method_41,Java,3
D4J-042,commons-math,v17,v33,Test42,test_method_42,Java,7
D4J-043,jfreechart,v5,v27,Test43,test_method_43,Java,1
D4J-044,jfreechart,v20,v32,Test44,test_method_44,Java,11
D4J-045,closure,v4,v21,Test45,test_method_45,Java,3
D4J-046,commons-math,v17,v36,Test46,test_method_46,Java,20
D4J-047,closure,v17,v37,Test47,test_method_47,Java,2
D4J-048,commons-math,v4,v35,Test48,test_method_48,Java,1
D4J-049,commons-lang,v13,v21,Test49,test_method_49,Java,18
