id,project,version,churn
defects4j_0001,project_a,v2.0,1424
defects4j_0002,project_d,v2.2,2927
defects4j_0003,project_b,v1.3,3810
defects4j_0004,project_d,v3.7,1824
defects4j_0005,project_c,v5.4,4412
defects4j_0006,project_b,v3.7,340
defects4j_0007,project_b,v5.3,4566
defects4j_0008,project_c,v3.0,2835
defects4j_0009,project_c,v2.9,1480
defects4j_0010,project_d,v3.2,2718
defects4j_0011,project_a,v5.2,3655
defects4j_0012,project_d,v4.3,4181
defects4j_0013,project_b,v5.8,2976
defects4j_0014,project_a,v1.0,837
defects4j_0015,project_b,v4.7,4979
defects4j_0016,project_d,v4.0,1496
defects4j_0017,project_d,v3.5,893
defects4j_0018,project_d,v5.3,3680
defects4j_0019,project_b,v4.5,3870
defects4j_0020,project_b,v5.1,1546
defects4j_0021,project_c,v5.0,396
defects4j_0022,project_c,v5.2,3725
defects4j_0023,project_c,v1.3,629
defects4j_0024,project_c,v1.8,42
defects4j_0025,project_a,v3.8,2686
defects4j_0026,project_d,v2.3,2923
defects4j_0027,project_d,v1.9,886
defects4j_0028,project_c,v2.6,1298
defects4j_0029,project_a,v3.9,2221
defects4j_0030,project_c,v3.6,2322
defects4j_0031,project_b,v1.6,4852
defects4j_0032,project_b,v2.5,354
defects4j_0033,project_c,v3.2,1728
defects4j_0034,project_c,v3.0,3244
defects4j_0035,project_a,v5.0,2786
defects4j_0036,project_a,v3.7,1681
defects4j_0037,project_b,v4.0,1471
defects4j_0038,project_c,v2.7,3557
defects4j_0039,project_c,v3.5,1892
defects4j_0040,project_c,v4.6,3459
defects4j_0041,project_c,v3.9,1672
defects4j_0042,project_b,v3.3,3183
defects4j_0043,project_b,v4.0,3174
defects4j_0044,project_d,v1.1,3801
defects4j_0045,project_a,v5.8,1389
defects4j_0046,project_c,v1.5,1564
defects4j_0047,project_b,v2.3,4566
defects4j_0048,project_a,v4.8,1824
defects4j_0049,project_c,v2.4,500
defects4j_0050,project_b,v5.2,1738
defects4j_0051,project_a,v4.6,1431
defects4j_0052,project_b,v1.8,1464
defects4j_0053,project_b,v1.6,2782
defects4j_0054,project_b,v2.7,3803
defects4j_0055,project_c,v3.2,3032
defects4j_0056,project_b,v2.5,2056
defects4j_0057,project_b,v1.9,102
defects4j_0058,project_a,v5.8,2908
defects4j_0059,project_d,v2.2,1390
defects4j_0060,project_d,v5.5,338
defects4j_0061,project_c,v2.8,1446
defects4j_0062,project_d,v4.5,2822
defects4j_0063,project_d,v1.4,4089
defects4j_0064,project_d,v3.6,3863
defects4j_0065,project_b,v4.6,2095
defects4j_0066,project_d,v1.3,179
defects4j_0067,project_d,v5.5,3974
defects4j_0068,project_b,v4.6,2373
defects4j_0069,project_b,v3.0,2868
defects4j_0070,project_c,v5.2,3283
defects4j_0071,project_a,v2.9,2272
defects4j_0072,project_d,v4.4,4284
