project,file,language,dataset_type,type,loc,comment_lines,blank_lines,total_lines,lines_of_code_actual,cyclomatic_complexity,max_nesting_depth,avg_nesting_depth,cognitive_complexity,wmc,dit,noc,cbo,rfc,lcom,num_classes,num_interfaces,num_methods,num_fields,num_public_methods,num_private_methods,num_static_methods,comment_ratio,has_comments,avg_method_loc,max_method_loc,maintainability_index,has_defect,defect_type,num_bugs,bug_severity,afferent_coupling,efferent_coupling,instability,halstead_volume,halstead_difficulty,technical_debt_hours,code_smells,defects
ProxoolConstants,d:\GitIntel\druid\druid-wrapper\src\main\java\org\logicalcobwebs\proxool,java,promise,comprehensive_java_metrics,221,81,102,323,38,15,1,1.0,18.0,0,1,0,4,0,0.0,4,2,0,75,0,0,0,0.3665158371040724,True,140.0,150,50.0,0,none,0,none,4,4,1.0,0,0,0,0,0
ProxoolDataSource,d:\GitIntel\druid\druid-wrapper\src\main\java\org\logicalcobwebs\proxool,java,promise,comprehensive_java_metrics,330,2,70,400,258,30,4,0.06557377049180328,36.0,61,1,0,1,61,0.0,1,0,61,20,60,1,0,0.006060606060606061,True,5.377049180327869,15,50.0,0,none,0,none,1,1,0.016129032258064516,0,0,0,0,0
BasicDataSource,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp,java,promise,comprehensive_java_metrics,5,0,4,9,1,1,1,1.0,1.2,0,1,0,1,0,0.0,1,0,0,1,0,0,0,0.0,False,5.0,15,50.0,0,none,0,none,1,1,1.0,0,0,0,0,0
BasicDataSourceFactory,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp,java,promise,comprehensive_java_metrics,16,0,6,22,10,1,2,1.0,1.2,2,1,0,1,2,0.0,1,0,2,4,1,0,1,0.0,False,8.0,18,50.0,0,none,0,none,1,1,0.3333333333333333,0,0,0,0,0
BasicDataSourceMBean,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp,java,promise,comprehensive_java_metrics,4,0,3,7,1,1,1,1.0,1.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0.0,False,4.0,14,50.0,0,none,0,none,0,0,0.0,0,0,0,0,0
ManagedBasicDataSource,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp,java,promise,comprehensive_java_metrics,4,0,3,7,1,1,1,1.0,1.2,0,1,0,1,0,0.0,1,0,0,1,0,0,0,0.0,False,4.0,14,50.0,0,none,0,none,1,1,1.0,0,0,0,0,0
ManagedBasicDataSourceFactory,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp,java,promise,comprehensive_java_metrics,15,0,5,20,10,1,2,1.0,1.2,2,1,0,1,2,0.0,1,0,2,4,1,0,1,0.0,False,7.5,17,50.0,0,none,0,none,1,1,0.3333333333333333,0,0,0,0,0
ManagedBasicDataSourceMBean,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp,java,promise,comprehensive_java_metrics,3,0,2,5,1,1,1,1.0,1.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0.0,False,3.0,13,50.0,0,none,0,none,0,0,0.0,0,0,0,0,0
BasicDataSource,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp2,java,promise,comprehensive_java_metrics,5,0,4,9,1,1,1,1.0,1.2,0,1,0,1,0,0.0,1,0,0,1,0,0,0,0.0,False,5.0,15,50.0,0,none,0,none,1,1,1.0,0,0,0,0,0
BasicDataSourceFactory,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp2,java,promise,comprehensive_java_metrics,15,0,5,20,10,1,2,1.0,1.2,2,1,0,1,2,0.0,1,0,2,4,1,0,1,0.0,False,7.5,17,50.0,0,none,0,none,1,1,0.3333333333333333,0,0,0,0,0
