project,file_path,language,dataset_type,loc_total,loc_blank,loc_comments,loc_code_and_comment,loc_executable,halstead_n1,halstead_n2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,wmc,dit,noc,cbo,rfc,lcom,cyclomatic_complexity,essential_complexity,design_complexity,num_methods,num_fields,num_classes,num_interfaces,branch_count,call_pairs,condition_count,normalized_cyclomatic_complexity,percent_comments,maintainability_index,edge_count,node_count,unique_operands,unique_operators,total_operands,total_operators,parameter_count,max_nested_blocks,defects,average_token_count,max_complexity
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\Constants.java,java,promise_professional,5,3,0,5,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,90.0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\DbType.java,java,promise_professional,117,38,0,117,33,4,87,175,175,91,350,2450,4.022988505747127,9856.32183908046,0,0,0,0,0,0,2.8,1,5,5,0,1,0,9,175,14,0.02393162393162393,0,0,14,5,87,4,175,175,0,16,0,35.0,6
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\DruidRuntimeException.java,java,promise_professional,16,7,0,16,12,1,25,50,50,26,100,500,1.0,500.0,0,0,0,0,0,0,1.0,1,4,4,0,1,0,0,50,4,0.0625,0,0,4,4,25,1,50,50,4,3,0,12.5,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\FastsqlColumnAmbiguousException.java,java,promise_professional,8,3,0,8,5,1,8,17,17,9,34,136,1.0625,144.5,0,0,0,0,0,0,1.0,1,2,2,0,1,0,0,17,2,0.125,0,36.20000000000002,2,2,8,1,17,17,1,3,0,8.5,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\FastsqlException.java,java,promise_professional,16,7,0,16,12,1,25,50,50,26,100,500,1.0,500.0,0,0,0,0,0,0,1.0,1,4,4,0,1,0,0,50,4,0.0625,0,0,4,4,25,1,50,50,4,3,0,12.5,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\TransactionTimeoutException.java,java,promise_professional,5,4,0,5,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,90.0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\VERSION.java,java,promise_professional,9,3,0,9,3,1,11,22,22,12,44,176,1.0,176.0,0,0,0,0,0,0,1.0,1,1,1,0,1,0,0,22,1,0.1111111111111111,0,20.00000000000003,1,1,11,1,22,22,0,3,0,22.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\AutoLoad.java,java,promise_professional,10,4,0,10,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,9.0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\Filter.java,java,promise_professional,858,498,5,858,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\FilterAdapter.java,java,promise_professional,2367,499,6,2367,1865,294,6679,13359,13359,6973,26718,347334,294.0220092828268,102123840.57224137,0,0,0,0,0,0,1.0020366598778003,1,491,491,0,1,0,1,13359,492,0.00042333614696991986,0,0,492,491,6679,294,13359,13359,1665,6,0,27.207739307535643,2
