repository,package,total_commits,total_added,total_removed,total_churn,total_files,avg_churn_per_commit
camel,org.apache.camel.builder.endpoint.dsl,1876,940834,391501,1332335,1118,710.1998933901918
camel,org.apache.camel.builder.component.dsl,1175,229480,59137,288617,1148,245.63148936170214
camel,org.apache.camel.processor,2706,143811,48762,192573,1913,71.16518847006652
camel,org.apache.camel.impl,2706,97370,46103,143473,737,53.020325203252035
camel,org.apache.camel.model,1956,84127,45514,129641,697,66.27862985685071
camel,org.apache.camel.builder.endpoint,762,78148,46925,125073,88,164.13779527559055
camel,org.apache.camel.component.sql.stored.template.generated,78,55686,53533,109219,14,1400.2435897435898
camel,generated.java.org.apache.camel.builder.endpoint.dsl,70,0,108209,108209,89,1545.8428571428572
camel,org.apache.camel.component.file,1282,57332,28633,85965,571,67.05538221528862
camel,org.apache.camel.maven.packaging,1212,51145,34540,85685,94,70.69719471947195
camel,org.apache.camel.component.file.remote,877,55094,26662,81756,356,93.22234891676169
camel,org.apache.camel.component.jms,1096,55281,23525,78806,295,71.90328467153284
camel,org.apache.camel.main,1135,56436,20636,77072,263,67.90484581497797
camel,org.apache.camel.builder,1347,49602,27217,76819,336,57.02969561989607
camel,org.apache.camel.util,1700,55228,19809,75037,309,44.13941176470588
camel,org.apache.camel.management,1156,53392,19394,72786,803,62.963667820069205
camel,org.apache.camel.support,1229,48285,20130,68415,338,55.66720911310008
camel,org.apache.camel.component.hl7,126,49663,7861,57524,69,456.53968253968253
camel,org.apache.camel.builder.component,390,32787,23513,56300,7,144.35897435897436
camel,org.apache.camel,1783,39563,16076,55639,492,31.20527201346046
camel,org.apache.camel.impl.engine,1172,34356,20005,54361,250,46.38310580204778
camel,org.apache.camel.dsl.yaml.deserializers,400,39312,14220,53532,31,133.83
camel,org.apache.camel.maven,622,30966,19475,50441,132,81.09485530546624
camel,org.apache.camel.component.cxf,819,33003,16110,49113,255,59.967032967032964
camel,org.apache.camel.component.http,677,31539,16821,48360,194,71.4327917282127
camel,org.apache.camel.component.bean,778,31524,10915,42439,467,54.548843187660665
camel,org.apache.camel.spi,1273,31458,9882,41340,469,32.47446975648075
camel,org.apache.camel.component.jetty,778,27330,13129,40459,298,52.00385604113111
camel,org.apache.camel.model.dataformat,471,26784,11154,37938,241,80.54777070063695
camel,org.apache.camel.dsl.jbang.core.commands,869,24778,11506,36284,81,41.75373993095512
camel,org.apache.camel.component.mail,560,25556,9560,35116,148,62.707142857142856
camel,org.apache.camel.component.netty,402,21143,12692,33835,135,84.16666666666667
camel,org.apache.camel.component.kafka,539,22220,10445,32665,60,60.60296846011132
camel,org.apache.camel.component.netty.http,428,20575,10643,31218,186,72.9392523364486
camel,generated.java.org.apache.camel.builder.component.dsl,75,0,31212,31212,95,416.16
camel,org.apache.camel.issues,466,24587,6126,30713,407,65.9077253218884
camel,org.apache.camel.component.salesforce,349,21580,8830,30410,101,87.13467048710602
camel,org.apache.camel.component.netty4,190,22579,7477,30056,181,158.18947368421053
camel,org.apache.maven.plugins.javadoc,25,14171,14171,28342,3,1133.68
camel,org.apache.camel.management.mbean,747,20508,7098,27606,331,36.95582329317269
camel,org.apache.camel.component.mllp,171,20136,7388,27524,96,160.95906432748538
camel,org.apache.camel.component.debezium.configuration,59,18607,8711,27318,39,463.0169491525424
camel,org.apache.camel.spring,717,18588,8691,27279,188,38.04602510460251
camel,org.apache.camel.test.spring,123,15683,10518,26201,246,213.01626016260164
camel,org.apache.camel.catalog,339,17835,7161,24996,94,73.73451327433628
camel,org.apache.camel.component.smpp,237,17376,6821,24197,58,102.09704641350211
camel,org.apache.camel.component.debezium,98,17461,6015,23476,98,239.55102040816325
camel,org.apache.camel.component.google.drive,173,18072,5357,23429,135,135.4277456647399
