package,loc,lloc,sloc,comments,blank,file_count
kafka.docker,164,164,164,16,41,1
kafka.examples,784,784,784,279,113,8
kafka.security,372,372,372,45,60,2
kafka.security.minikdc,395,395,395,97,58,2
kafka.server,526,526,526,179,99,6
kafka.server.builders,424,424,424,51,77,3
kafka.server.handlers,571,571,571,55,60,2
kafka.server.logger,189,189,189,35,28,2
kafka.server.share,16478,16478,16478,2925,3191,13
main.resources.archetype-resources.src.main.java,125,125,125,68,30,3
org.apache.kafka.admin,534,534,534,39,92,1
org.apache.kafka.api,170,170,170,32,29,1
org.apache.kafka.clients,9647,9647,9647,2567,1793,45
org.apache.kafka.clients.admin,24392,24392,24392,8613,4974,210
org.apache.kafka.clients.admin.internals,9544,9544,9544,1526,1695,59
org.apache.kafka.clients.consumer,16763,16763,16763,5600,3379,67
org.apache.kafka.clients.consumer.internals,60058,60058,60058,11288,11773,161
org.apache.kafka.clients.consumer.internals.events,2387,2387,2387,1428,656,55
org.apache.kafka.clients.consumer.internals.metrics,1174,1174,1174,319,250,15
org.apache.kafka.clients.producer,6733,6733,6733,1930,1237,25
org.apache.kafka.clients.producer.internals,13797,13797,13797,2798,2996,29
org.apache.kafka.clients.security,375,375,375,19,51,1
org.apache.kafka.common,2287,2287,2287,1346,499,37
org.apache.kafka.common.acl,744,744,744,464,197,13
org.apache.kafka.common.annotation,16,16,16,53,5,2
org.apache.kafka.common.cache,121,121,121,117,39,5
org.apache.kafka.common.compress,1364,1364,1364,458,312,15
org.apache.kafka.common.config,4019,4019,4019,1298,725,22
org.apache.kafka.common.config.internals,219,219,219,53,35,2
org.apache.kafka.common.config.provider,809,809,809,277,190,11
org.apache.kafka.common.config.types,27,27,27,53,9,2
org.apache.kafka.common.errors,1707,1707,1707,2902,785,152
org.apache.kafka.common.feature,366,366,366,204,87,6
org.apache.kafka.common.header,15,15,15,110,15,3
org.apache.kafka.common.header.internals,383,383,383,51,118,3
org.apache.kafka.common.internals,1359,1359,1359,812,314,19
org.apache.kafka.common.memory,362,362,362,155,83,5
org.apache.kafka.common.message,1438,1438,1438,144,232,6
org.apache.kafka.common.metrics,2572,2572,2572,1171,589,29
org.apache.kafka.common.metrics.internals,482,482,482,172,89,6
org.apache.kafka.common.metrics.stats,1247,1247,1247,672,281,24
org.apache.kafka.common.network,7563,7563,7563,2674,1380,49
org.apache.kafka.common.protocol,2189,2189,2189,603,368,22
org.apache.kafka.common.protocol.types,2668,2668,2668,499,478,16
org.apache.kafka.common.quota,169,169,169,192,56,5
org.apache.kafka.common.record,9002,9002,9002,2517,1919,57
org.apache.kafka.common.replica,274,274,274,173,76,7
org.apache.kafka.common.requests,23083,23083,23083,5450,4597,250
org.apache.kafka.common.resource,320,320,320,302,100,7
org.apache.kafka.common.security,645,645,645,195,123,7
org.apache.kafka.common.security.auth,438,438,438,549,174,17
org.apache.kafka.common.security.authenticator,4578,4578,4578,1098,725,20
org.apache.kafka.common.security.kerberos,828,828,828,328,140,11
org.apache.kafka.common.security.oauthbearer,2504,2504,2504,1562,623,34
org.apache.kafka.common.security.oauthbearer.internals,973,973,973,352,191,10
org.apache.kafka.common.security.oauthbearer.internals.expiring,859,859,859,472,128,5
org.apache.kafka.common.security.oauthbearer.internals.secured,2680,2680,2680,1243,827,32
org.apache.kafka.common.security.oauthbearer.internals.secured.assertion,662,662,662,490,182,13
org.apache.kafka.common.security.oauthbearer.internals.unsecured,1385,1385,1385,633,197,13
org.apache.kafka.common.security.plain,57,57,57,73,20,3
org.apache.kafka.common.security.plain.internals,264,264,264,99,70,4
org.apache.kafka.common.security.scram,97,97,97,124,32,5
org.apache.kafka.common.security.scram.internals,1465,1465,1465,356,284,14
org.apache.kafka.common.security.ssl,2679,2679,2679,513,380,13
org.apache.kafka.common.security.ssl.mock,198,198,198,128,81,8
org.apache.kafka.common.security.token.delegation,152,152,152,60,37,3
org.apache.kafka.common.security.token.delegation.internals,99,99,99,39,27,2
org.apache.kafka.common.serialization,1758,1758,1758,783,342,34
org.apache.kafka.common.telemetry,142,142,142,84,53,2
org.apache.kafka.common.telemetry.internals,3600,3600,3600,1091,825,22
org.apache.kafka.common.test,2271,2271,2271,397,343,14
org.apache.kafka.common.test.api,532,532,532,311,124,14
org.apache.kafka.common.test.junit,1427,1427,1427,310,255,10
org.apache.kafka.common.utils,8157,8157,8157,3323,1627,76
org.apache.kafka.common.utils.annotation,128,128,128,48,43,3
org.apache.kafka.config,8,8,8,54,6,1
org.apache.kafka.connect.cli,365,365,365,131,87,4
org.apache.kafka.connect.components,5,5,5,43,3,2
org.apache.kafka.connect.connector,272,272,272,296,81,7
org.apache.kafka.connect.connector.policy,324,324,324,281,114,12
org.apache.kafka.connect.converters,719,719,719,377,195,19
org.apache.kafka.connect.data,4712,4712,4712,1292,815,24
org.apache.kafka.connect.errors,98,98,98,171,34,9
org.apache.kafka.connect.file,937,937,937,178,187,8
org.apache.kafka.connect.file.integration,269,269,269,69,71,2
org.apache.kafka.connect.header,1058,1058,1058,401,216,7
org.apache.kafka.connect.health,184,184,184,263,57,8
org.apache.kafka.connect.integration,8128,8128,8128,2039,1678,34
org.apache.kafka.connect.json,1759,1759,1759,283,275,8
org.apache.kafka.connect.mirror,8253,8253,8253,1814,1452,61
